Last X,Last Y,Name
5.456923132,14.63000002,АР ст + АР пл
5.456925499,14.63000002,АР ст + АР пл
5.580000101,6.7325,АР ст + ЭОМ шк
5.580000101,6.745431583,АР ст + ЭОМ шк
5.580000101,8.344822957,АР ст + ЭОМ шк
5.600000002,8.291704153,АР пт + ЭОМ шк
5.600000002,8.291704312,АР пт + ЭОМ шк
5.600000002,8.291705041,АР пт + ЭОМ шк
5.600000002,8.29170512,АР пт + ЭОМ шк
5.600000002,8.2917052,АР пт + ЭОМ шк
5.600000002,8.291705358,АР пт + ЭОМ шк
5.600000002,8.291706008,АР пт + ЭОМ шк
5.600000002,8.291706088,АР пт + ЭОМ шк
5.600000002,8.291706246,АР пт + ЭОМ шк
5.600000002,8.291706405,АР пт + ЭОМ шк
5.600000002,8.291707293,АР пт + ЭОМ шк
5.763251345,10.8900004,АР ст + ВК обр
5.880196893,10.90133721,АР ст + АР пл
5.888132589,8.677505672,АР пт + ОВ обр
5.888132589,8.817940891,АР пт + ОВ обр
5.908377731,10.81445575,АР ст + АР пл
5.942857384,32.38000031,АР ст + АР пл
5.980628554,11.14000026,АР ст + АР пл
5.994640489,15.69999983,АР ст + ОВ воз г
5.994785237,15.48000047,АР ст + ОВ воз г
6.066921333,0.970000022,АР ст + АР пл
6.066923108,0.970000022,АР ст + АР пл
6.066923255,0.970000022,АР ст + АР пл
6.10058462,7.128284143,ЭОМ шк + ЭОМ кк
6.247000344,2.939583557,АР пт + ЭОМ шк
6.396252217,27.39999963,АР ст + ЭОМ св
6.439613023,7.286375683,ЭОМ шк + ЭОМ кк
6.530000253,0.970000022,АР ст + АР пл
6.579173434,9.620000015,АР ст + ОВ воз г
6.642960491,9.84000054,АР ст + ОВ воз г
6.814615073,5.259999866,АР ст + ОВ воз г
6.814615073,5.259999866,АР ст + ОВ воз г
6.919237127,9.763132221,АР пт + ВК тр в
6.955746638,9.795112594,АР пл + ВК тр в
7.029994385,0.950000007,АР ст + АР пл
7.170000142,8.917389721,АР ст + ЭОМ св
